Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Deposit fee,Currency (Deposit fee),Currency conversion from amount,Currency (Currency conversion from amount),Currency conversion to amount,Currency (Currency conversion to amount),Currency conversion fee,Currency (Currency conversion fee)
Market buy,2025-01-14 08:00:02,IE00BP3QZB59,IWVL,"iShares Edge MSCI World Value Factor (Acc)",,EOF26509458030,0.6491590000,42.4600000000,USD,0.04066221,,"CZK",678.88,"CZK",,,,,,,,,,,1.02,"CZK"
Market buy,2025-01-14 08:00:02,IE00BP3QZB59,IWVL,"iShares Edge MSCI World Value Factor (Acc)",,EOF26509458052,0.7958890000,42.5000000000,USD,0.04066222,,"CZK",833.11,"CZK",,,,,,,,,,,1.25,"CZK"
Market buy,2025-01-14 08:00:12,IE00B5BMR087,CSPX,"iShares Core S&P 500 (Acc)",,EOF26509458411,0.3145611000,621.6600000000,USD,0.04066284,,"CZK",4816.27,"CZK",,,,,,,,,,,7.21,"CZK"
Market buy,2025-01-14 08:00:15,IE00BK5BQT80,VWRA,"Vanguard FTSE All-World (Acc)",,EOF26509458572,1.8849840000,137.7400000000,USD,0.04066114,,"CZK",6394.98,"CZK",,,,,,,,,,,9.58,"CZK"
Market buy,2025-01-14 08:00:24,IE00B53SZB19,CNDX,"iShares NASDAQ 100 (Acc)",,EOF26509458919,0.0580596300,1195.5500000000,USD,0.04065908,,"CZK",1709.76,"CZK",,,,,,,,,,,2.56,"CZK"
Market buy,2025-01-14 08:04:05,IE00BSPLC413,ZPRV,"SPDR MSCI USA Small Cap Value Weighted (Acc)",,EOF26509466304,0.4589070000,66.7100000000,EUR,0.03964322,,"CZK",773.39,"CZK",,,,,,,,,,,1.16,"CZK"
Market buy,2025-01-14 08:04:11,IE00BG0SKF03,5MVL,"iShares Edge MSCI EM Value Factor (Acc)",,EOF26509466483,0.6521830000,48.1650000000,EUR,0.03964009,,"CZK",793.63,"CZK",,,,,,,,,,,1.19,"CZK"
Market buy,2025-01-14 08:41:04,NL0010273215,ASML,"ASML",,EOF26509476635,1.4000000000,721.5000000000,EUR,0.03956165,,"CZK",25570.60,"CZK",,,,,,,,,,,38.30,"CZK"
Deposit,2025-01-14 12:13:39,,,,"Transaction ID: FS83ZJP8ZQVQCWX3",509b65e1-38ba-446a-8188-d5987c1839ee,,,,,,,4000.00,"CZK",,,4028.00,"CZK",-28.00,"CZK",,,,,,
Market buy,2025-01-14 13:19:57,US0846707026,BRK.B,"Berkshire Hathaway (Class B)",,EOF26550472621,1.0000000000,445.9400000000,USD,0.04053012,,"CZK",11019.18,"CZK",,,,,,,,,,,16.50,"CZK"
Market buy,2025-01-14 13:33:22,US7310681025,PII,"Polaris",,EOF26550474870,3.0000000000,57.2700000000,USD,0.04055556,,"CZK",4242.76,"CZK",,,,,,,,,,,6.35,"CZK"
Market buy,2025-01-15 11:14:54,US9344231041,WBD,"Warner Bros Discovery",,EOF26555939771,10.0000000000,9.8200000000,USD,0.04090320,,"CZK",2404.39,"CZK",,,,,,,,,,,3.60,"CZK"
Deposit,2025-01-15 12:39:36,,,,"Transaction ID: KR67TK5W95B3MRF3",bac6a46c-a5cf-4d6f-b7fc-d99d73f2d4ed,,,,,,,8000.00,"CZK",,,8056.00,"CZK",-56.00,"CZK",,,,,,
Market buy,2025-01-15 16:16:46,US7561091049,O,"Realty Income",,EOF26604276086,3.5351150000,53.4700000000,USD,0.04080367,,"CZK",4639.44,"CZK",,,,,,,,,,,6.95,"CZK"
Limit buy,2025-01-27 08:04:30,NL0010273215,ASML,"ASML",,EOF27201970520,0.3400000000,648.7000000000,EUR,0.03983427,,"CZK",5545.20,"CZK",,,,,,,,,,,8.31,"CZK"
Market buy,2025-01-27 08:56:17,NL0010273215,ASML,"ASML",,EOF27251761285,0.0290799000,641.9000000000,EUR,0.03983862,,"CZK",469.25,"CZK",,,,,,,,,,,0.70,"CZK"
Deposit,2025-01-27 09:18:10,,,,"Transaction ID: HF59W6LDKPDVV3G6",b572b722-1507-4789-89c8-a47f924e62c9,,,,,,,10000.00,"CZK",,,10070.00,"CZK",-70.00,"CZK",,,,,,
Market buy,2025-01-27 09:18:26,NL0010273215,ASML,"ASML",,EOF27251770466,0.3200000000,638.6000000000,EUR,0.03982794,,"CZK",5138.57,"CZK",,,,,,,,,,,7.70,"CZK"
Market buy,2025-01-27 16:14:49,NL0010273215,ASML,"ASML",,EOF27260762941,0.1500000000,650.8000000000,EUR,0.03986442,,"CZK",2452.47,"CZK",,,,,,,,,,,3.67,"CZK"
Market buy,2025-01-29 10:52:26,DE000PAG9113,P911,"Porsche",,EOF27351362384,1.5545060000,61.6200000000,EUR,0.03982316,,"CZK",2408.96,"CZK",,,,,,,,,,,3.61,"CZK"
Deposit,2025-01-31 10:41:45,,,,"Transaction ID: TPSGWRF93NHCQLZ3",ccad069c-a870-4c38-877f-0f7a5abe8a8c,,,,,,,21000.00,"CZK",,,21147.00,"CZK",-147.00,"CZK",,,,,,
Market buy,2025-02-03 09:09:23,US0846707026,BRK.B,"Berkshire Hathaway (Class B)",,EOF27600796667,0.5242031000,463.7200000000,USD,0.04057470,,"CZK",6000.00,"CZK",,,,,,,,,,,8.99,"CZK"
Market buy,2025-02-03 09:09:58,IE00B5BMR087,CSPX,"iShares Core S&P 500 (Acc)",,EOF27600796833,0.1051294000,631.3900000000,USD,0.04058057,,"CZK",1638.15,"CZK",,,,,,,,,,,2.45,"CZK"
Market buy,2025-02-03 09:09:58,IE00B53SZB19,CNDX,"iShares NASDAQ 100 (Acc)",,EOF27600796838,0.0211305600,1205.9500000000,USD,0.04058029,,"CZK",628.89,"CZK",,,,,,,,,,,0.94,"CZK"
Market buy,2025-02-03 09:09:58,IE00BG0SKF03,5MVL,"iShares Edge MSCI EM Value Factor (Acc)",,EOF27600796841,0.2603760000,48.6300000000,EUR,0.03959128,,"CZK",320.30,"CZK",,,,,,,,,,,0.48,"CZK"
Market buy,2025-02-03 09:09:58,IE00BK5BQT80,VWRA,"Vanguard FTSE All-World (Acc)",,EOF27600796847,0.5282571000,140.5200000000,USD,0.04058073,,"CZK",1831.95,"CZK",,,,,,,,,,,2.74,"CZK"
Market buy,2025-02-03 09:09:59,IE00BSPLC413,ZPRV,"SPDR MSCI USA Small Cap Value Weighted (Acc)",,EOF27600796855,0.1404830000,67.8200000000,EUR,0.03959092,,"CZK",241.01,"CZK",,,,,,,,,,,0.36,"CZK"
Market buy,2025-02-03 09:10:00,IE00BP3QZB59,IWVL,"iShares Edge MSCI World Value Factor (Acc)",,EOF27600796865,0.3153980000,43.6400000000,USD,0.04058013,,"CZK",339.69,"CZK",,,,,,,,,,,0.51,"CZK"
Market buy,2025-02-03 11:29:01,DE000PAG9113,P911,"Porsche",,EOF27602480093,3.3549370000,58.9000000000,EUR,0.03958044,,"CZK",5000.00,"CZK",,,,,,,,,,,7.49,"CZK"
Market buy,2025-02-04 20:20:32,US0079031078,AMD,"Advanced Micro Devices",,EOF27655245688,1.7343442000,118.8700000000,USD,0.04129415,,"CZK",5000.00,"CZK",,,,,,,,,,,7.49,"CZK"
Market sell,2025-02-05 14:00:24,US67066G1040,NVDA,"Nvidia",,EOF27701515506,1.8146876000,120.5000000000,USD,0.04142847,-83.84,"CZK",5270.33,"CZK",,,,,,,,,,,7.92,"CZK"
Market buy,2025-02-05 14:01:02,DE000PAG9113,P911,"Porsche",,EOF27701515624,3.5788360000,58.5200000000,EUR,0.03979779,,"CZK",5270.33,"CZK",,,,,,,,,,,7.89,"CZK"
Deposit,2025-02-10 18:35:11,,,,"Transaction ID: QGKSD8FZ97WJPDZ3",63281d70-a4e8-4c2f-bb42-25b7d69db615,,,,,,,10000.00,"CZK",,,10070.00,"CZK",-70.00,"CZK",,,,,,
Market buy,2025-02-10 18:42:49,US23257B3050,CYN,"CYNGN",,EOF27959403989,435.8418000000,0.1884000000,USD,0.04111797,,"CZK",2000.00,"CZK",,,,,,,,,,,3.00,"CZK"
Market sell,2025-02-10 20:26:33,US23257B3050,CYN,"CYNGN",,EOF27959430002,435.8418000000,0.1574000000,USD,0.04110335,-328.00,"CZK",1666.50,"CZK",,,,,,,,,,,2.50,"CZK"
Market buy,2025-02-11 13:17:58,DE000PAG9113,P911,"Porsche",,EOF28001816438,6.9043710000,55.6800000000,EUR,0.03982952,,"CZK",9666.50,"CZK",,,,,,,,,,,14.48,"CZK"
Market sell,2025-02-11 17:53:36,US1912161007,KO,"Coca-Cola",,EOF28005614293,3.1208650000,66.8100000000,USD,0.04124564,10.29,"CZK",5047.62,"CZK",,,,,,,,,,,7.58,"CZK"
Market buy,2025-02-12 20:58:32,US02079K3059,GOOGL,"Alphabet (Class A)",,EOF28055577510,1.1396169000,183.5100000000,USD,0.04149377,,"CZK",5047.62,"CZK",,,,,,,,,,,7.56,"CZK"
Deposit,2025-02-14 09:48:39,,,,"Transaction ID: JVR36KSCS8RCFQG6",0d59fc3b-8d60-40b7-aa68-1cde39583e9b,,,,,,,25000.00,"CZK",,,25175.00,"CZK",-175.00,"CZK",,,,,,
Dividend (Dividend),2025-02-14 12:45:16,US7561091049,O,"Realty Income",,,3.5351150000,0.224400,USD,23.93858996,,,18.99,"CZK",0.14,USD,,,,,,,,,,
Deposit,2025-02-17 07:58:53,,,,"Transaction ID: SLD9NT97B7WJPDZ3",f56a602a-453e-49b5-b403-abd51473018c,,,,,,,25000.00,"CZK",,,25175.00,"CZK",-175.00,"CZK",,,,,,
Market buy,2025-02-17 08:00:06,IE00BP3QZB59,IWVL,"iShares Edge MSCI World Value Factor (Acc)",,EOF28200923940,0.6542100000,46.0000000000,USD,0.04184789,,"CZK",720.20,"CZK",,,,,,,,,,,1.08,"CZK"
Market buy,2025-02-17 08:00:07,IE00B5BMR087,CSPX,"iShares Core S&P 500 (Acc)",,EOF28200924262,0.2215990000,650.0000000000,USD,0.04184806,,"CZK",3447.12,"CZK",,,,,,,,,,,5.16,"CZK"
Market buy,2025-02-17 08:00:09,IE00B53SZB19,CNDX,"iShares NASDAQ 100 (Acc)",,EOF28200924473,0.0266269900,1268.0400000000,USD,0.04184524,,"CZK",808.09,"CZK",,,,,,,,,,,1.21,"CZK"
Market buy,2025-02-17 08:00:18,IE00BK5BQT80,VWRA,"Vanguard FTSE All-World (Acc)",,EOF28200925066,1.1269589000,145.8400000000,USD,0.04184815,,"CZK",3933.32,"CZK",,,,,,,,,,,5.89,"CZK"
Market buy,2025-02-17 08:04:18,IE00BSPLC413,ZPRV,"SPDR MSCI USA Small Cap Value Weighted (Acc)",,EOF28200944990,0.4245620000,67.3500000000,EUR,0.03989487,,"CZK",717.82,"CZK",,,,,,,,,,,1.08,"CZK"
Market buy,2025-02-17 08:04:27,IE00BG0SKF03,5MVL,"iShares Edge MSCI EM Value Factor (Acc)",,EOF28200946145,0.2964740000,50.1800000000,EUR,0.03989451,,"CZK",373.47,"CZK",,,,,,,,,,,0.56,"CZK"
Market buy,2025-02-17 15:09:15,IE0003R87OG3,AVWS,"Avantis Global Small Cap Value (Acc)",,EOF28302067488,20.0000000000,19.6060000000,EUR,0.03990421,,"CZK",9841.27,"CZK",,,,,,,,,,,14.74,"CZK"
Market buy,2025-02-18 01:00:00,US5949181045,MSFT,"Microsoft",,EOF28302083573,1.0000000000,412.6200000000,USD,0.04174562,,"CZK",9898.98,"CZK",,,,,,,,,,,14.83,"CZK"
Dividend (Dividend),2025-02-19 11:57:41,NL0010273215,ASML,"ASML",,,4.8885998000,1.292000,EUR,25.06146645,,,158.29,"CZK",1.11,EUR,,,,,,,,,,
Market buy,2025-02-20 10:55:09,US5398301094,LMT,"Lockheed Martin",,EOF28450169830,0.4780493000,435.0300000000,USD,0.04165555,,"CZK",5000.00,"CZK",,,,,,,,,,,7.49,"CZK"
Market buy,2025-02-20 15:07:16,US0079031078,AMD,"Advanced Micro Devices",,EOF28453173316,1.2683572000,114.8700000000,USD,0.04168989,,"CZK",3500.00,"CZK",,,,,,,,,,,5.24,"CZK"
Deposit,2025-02-21 08:42:11,,,,"Transaction ID: Q9KNX3GZXFPMMQF6",7a1ec7c3-9be8-4dad-9bf1-5043d525538f,,,,,,,25000.00,"CZK",,,25175.00,"CZK",-175.00,"CZK",,,,,,
Market buy,2025-02-21 11:24:07,US5398301094,LMT,"Lockheed Martin",,EOF28457647510,0.4736452000,440.0300000000,USD,0.04174615,,"CZK",5000.00,"CZK",,,,,,,,,,,7.49,"CZK"
Limit buy,2025-02-24 14:59:47,US0079031078,AMD,"Advanced Micro Devices",,EOF28656555018,2.0000000000,109.0000000000,USD,0.04177773,,"CZK",5225.92,"CZK",,,,,,,,,,,7.83,"CZK"
Market buy,2025-02-25 09:13:34,NL0010273215,ASML,"ASML",,EOF28660724662,0.1323842000,694.6000000000,EUR,0.04004008,,"CZK",2299.99,"CZK",,,,,,,,,,,3.44,"CZK"
Market buy,2025-02-25 12:30:06,US0231351067,AMZN,"Amazon",,EOF28701606619,1.9716798000,213.0500000000,USD,0.04206965,,"CZK",10000.00,"CZK",,,,,,,,,,,14.98,"CZK"
Market buy,2025-02-25 15:27:40,IE00BG0SKF03,5MVL,"iShares Edge MSCI EM Value Factor (Acc)",,EOF28704667532,0.3917460000,49.6300000000,EUR,0.04015107,,"CZK",484.96,"CZK",,,,,,,,,,,0.73,"CZK"
Market buy,2025-02-25 15:27:40,IE00B5BMR087,CSPX,"iShares Core S&P 500 (Acc)",,EOF28704667529,0.3164511000,629.5300000000,USD,0.04222795,,"CZK",4724.70,"CZK",,,,,,,,,,,7.08,"CZK"
Market buy,2025-02-25 15:27:40,IE00B53SZB19,CNDX,"iShares NASDAQ 100 (Acc)",,EOF28704667535,0.0674241500,1202.0500000000,USD,0.04222791,,"CZK",1922.16,"CZK",,,,,,,,,,,2.88,"CZK"
Market buy,2025-02-25 15:27:41,IE00BK5BQT80,VWRA,"Vanguard FTSE All-World (Acc)",,EOF28704667547,1.6656898000,142.3600000000,USD,0.04222898,,"CZK",5623.70,"CZK",,,,,,,,,,,8.42,"CZK"
Market buy,2025-02-25 15:27:41,IE00BSPLC413,ZPRV,"SPDR MSCI USA Small Cap Value Weighted (Acc)",,EOF28704667553,0.5342270000,64.5600000000,EUR,0.04015098,,"CZK",860.29,"CZK",,,,,,,,,,,1.29,"CZK"
Market buy,2025-02-25 15:27:49,IE00BP3QZB59,IWVL,"iShares Edge MSCI World Value Factor (Acc)",,EOF28704667667,0.7269170000,46.1300000000,USD,0.04222621,,"CZK",795.31,"CZK",,,,,,,,,,,1.19,"CZK"
Deposit,2025-03-12 21:11:10,,,,"Transaction ID: FP66KGDD2BMLPWF3",71fe8d7e-3c9a-45b7-ab39-a4c421f99f9c,,,,,,,750.00,"EUR",,,755.25,"EUR",-5.25,"EUR",,,,,,
Currency conversion,2025-03-12 21:13:42,,,,"750.00 EUR -> 18745.50 CZK",MIZI9YUQKW4PHCTD,,,,,,,-28.12,"CZK",,,,,,,750.00,"EUR",18745.50,"CZK",-28.12,"CZK"
Market buy,2025-03-12 21:15:32,US02079K3059,GOOGL,"Alphabet (Class A)",,EOF29455912349,1.3048788000,166.7400000000,USD,0.04358038,,"CZK",5000.00,"CZK",,,,,,,,,,,7.49,"CZK"
